id,card_class,rarity,name_es,name_en,image,gold_coins,red_coins,life_cost,displayed_text_es,displayed_text_en,target,effect1,effect2,effect3,condition1,condition2,condition3,value1,value2,value3,turn_duration1,turn_duration2,turn_duration3,chance1,chance2,chance3,ethereal,content_version_id
1,titan,common,Judgment of the Shadows,Judgment of the Shadows,res://assets/sprites/card-images/judgment-of-the-shadows.png,2,0,0,Enemiga: 3 Daño. 2/6: Silencio 1T.,,opponent_invo,deal_damage,nerf_silence,,,,,3,0,,0,1,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
2,titan,common,Blessing of Vitality,Blessing of Vitality,res://assets/sprites/card-images/blessing-of-vitality.png,2,0,0,Aliada: +2 Salud. +2 Ataque. 2/6: Escudo Mágico +1 1T.,,player_invo,buff_health,buff_attack,buff_magic_shield,,,,2,2,1,0,0,1,,,2/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
3,arcane,common,Whispers of Knowledge,Whispers of Knowledge,res://assets/sprites/card-images/whispers-of-knowledge.png,2,0,0,Robá 3. 2/6: Jugador: Escudo Mágico +1 1T. Exilia.,,,player_draw_card,player_gains_magic_shield,,,,,3,1,,0,1,,,2/6,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
4,arcane,common,Golden Harvest,Golden Harvest,res://assets/sprites/card-images/golden-harvest.png,1,0,0,Obtené 4 Oro. 2/6: Robá 1.,,,player_gain_gold_coins,player_draw_card,,,,,4,1,,0,0,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
5,umbralist,common,Wave of Decay,Wave of Decay,res://assets/sprites/card-images/wave-of-decay.png,4,0,0,Enemigas: 2 Daño. 3/6: Enemigas: -1 Ataque.,,,deal_damage_all_opponent_invo,buff_attack_all_opponent_invo,,,,,2,-1,,0,0,,,3/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
6,umbralist,common,Curse of Frailty,Curse of Frailty,res://assets/sprites/card-images/curse-of-frailty.png,1,0,0,Enemigas: -1 Ataque. 2/6: Oponente descarta 1.,,,buff_attack_all_opponent_invo,opponent_discard_random_card,,,,,-1,1,,0,0,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
7,no_class,common,Windrunner's Grace,Windrunner's Grace,res://assets/sprites/card-images/windrunners-grace.png,1,0,0,Aliada: +1 Salud. +1 Ataque. 5/6: +1 Velocidad 1T.,,player_invo,buff_health,buff_attack,buff_speed,,,,1,1,1,0,0,1,,,5/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
8,titan,common,Shadowstrike Insight,Shadowstrike Insight,res://assets/sprites/card-images/shadowstrike-insight.png,3,0,0,Enemiga: 5 Daño. Robá 1. 2/6: Aturde 1T.,,opponent_invo,deal_damage,player_draw_card,nerf_stun,,,,5,1,0,0,0,1,,,2/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
9,titan,common,Colossus Pact,Colossus Pact,res://assets/sprites/card-images/colossus-pact.png,3,0,0,Aliada: +3 Ataque. +3 Velocidad. 2/6: Escudo Mágico +1 1T.,,player_invo,buff_attack,buff_speed,buff_magic_shield,,,,3,3,1,0,0,1,,,2/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
10,titan,rare,Charge of the Doomed,Charge of the Doomed,res://assets/sprites/card-images/charge-of-the-doomed.png,4,0,0,Aliadas: +3 Ataque. 2/6: Aliadas: +1 Velocidad.,,,buff_attack_all_player_invo,buff_speed_all_player_invo,,,,,3,1,,0,0,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
11,arcane,common,Revelation of the Arcane,Revelation of the Arcane,res://assets/sprites/card-images/revelation-of-the-arcane.png,3,0,0,Robá 5. 3/6: Oponente descarta 1. Exilia.,,,player_draw_card,opponent_discard_random_card,,,,,5,1,,0,0,,,3/6,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
12,no_class,rare,Echo of Defeat,Echo of Defeat,res://assets/sprites/card-images/echo-of-defeat.png,4,0,0,Enemiga: 4 Daño. Todas: 1 Daño. 3/6: Silencio 1T.,,opponent_invo,deal_damage,deal_damage_all_invo,nerf_silence,,,,4,1,0,0,0,1,,,3/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
13,arcane,epic,Apocalypse Unbound,Apocalypse Unbound,res://assets/sprites/card-images/apocalypse-unbound.png,7,0,0,Destruye todas las invocaciones. 2/6: Robá 1.,,,destroy_all_invo,player_draw_card,,,,,1,1,,,0,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
14,umbralist,common,Seal of Weakness,Seal of Weakness,res://assets/sprites/card-images/seal-of-weakness.png,1,0,0,Enemiga: -4 Ataque. 2/6: Silencio 1T.,,opponent_invo,buff_attack,nerf_silence,,,,,-4,0,,0,1,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
15,no_class,rare,Secrets of the Oracle,Secrets of the Oracle,res://assets/sprites/card-images/secrets-of-the-oracle.png,2,0,0,Enemigas: -1 Velocidad. Robá 2. 2/6: Oponente descarta 1. Exilia.,,,buff_speed_all_opponent_invo,player_draw_card,opponent_discard_random_card,,,,-1,2,1,0,0,0,,,2/6,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
16,no_class,common,Puppet Play,Puppet Play,res://assets/sprites/card-images/puppet-play.png,2,0,0,Aliadas: +2 Velocidad. 2/6: Aliadas: +1 Ataque.,,,buff_speed_all_player_invo,buff_attack_all_player_invo,,,,,2,1,,0,0,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
17,arcane,rare,Shadows of the Infinite,Shadows of the Infinite,res://assets/sprites/card-images/shadows-of-the-infinite.png,1,0,0,Enemiga: -2 Velocidad. Robá 1. 2/6: Congela 1T.,,opponent_invo,buff_speed,player_draw_card,nerf_frozen,,,,-2,1,0,0,0,1,,,2/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
18,umbralist,common,Trap of Fate,Trap of Fate,res://assets/sprites/card-images/trap-of-fate.png,1,0,0,Enemiga: -5 Velocidad. 2/6: Aturde 1T.,,opponent_invo,buff_speed,nerf_stun,,,,,-5,0,,0,1,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
19,umbralist,rare,Chant of the Buried,Chant of the Buried,res://assets/sprites/card-images/chant-of-the-buried.png,3,0,0,Aliada: +2 Salud. Obtené 5 Oro. 2/6: Escudo Mágico +1 1T.,,player_invo,buff_health,player_gain_gold_coins,buff_magic_shield,,,,2,5,1,0,0,1,,,2/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
20,arcane,common,Inflict Terror,Inflict Terror,res://assets/sprites/card-images/inflict-terror.png,5,0,0,Destruye una invocación enemiga. 2/6: Oponente descarta 1.,,opponent_invo,destroy,opponent_discard_random_card,,,,,1,1,,,0,,,2/6,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
21,umbralist,rare,Final Warning,Final Warning,res://assets/sprites/card-images/final-warning.png,6,0,0,Enemigas: 3 Daño. Robá 1. 2/6: Enemigas: -1 Velocidad.,,,deal_damage_all_opponent_invo,player_draw_card,buff_speed_all_opponent_invo,,,,3,1,-1,0,0,0,,,2/6,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
22,no_class,epic,Mercenary’s Wisdom,Mercenary’s Wisdom,res://assets/sprites/card-images/mercenarys-wisdom.png,2,0,0,Robá 2. Obtené 2 Oro. 2/6: Jugador: Escudo Mágico +1 1T. Exilia.,,,player_draw_card,player_gain_gold_coins,player_gains_magic_shield,,,,2,2,1,0,0,1,,,2/6,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
23,no_class,epic,Prosperity's Insight,Prosperity's Insight,res://assets/sprites/card-images/prosperitys-insight.png,3,0,0,Robá 2. Obtené 3 Oro. 3/6: Jugador: Escudo Mágico +1 2T. Exilia.,,,player_draw_card,player_gain_gold_coins,player_gains_magic_shield,,,,2,3,1,0,0,2,,,3/6,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
