id,tier,nameES,nameEN,description,effect1,value1,effect2,value2,effect3,value3,image,rarity,specialConditions
1,inicial,,Overpower Core,Robás 2 cartas adicionales el primer turno,initial_draw,2,,,,,res://assets/sprites/relics/relic1.png,common,
2,inicial,,Arcane Seal,Descartás 1 carta menos al comienzo del combate,discard_per_turn,-1,,,,,res://assets/sprites/relics/relic2.png,common,
3,inicial,,Umbralic Heart,Robás 1 carta más y descartás 1 carta más por turno,discard_per_turn,1,draw_per_turn,1,,,res://assets/sprites/relics/relic3.png,common,
4,,,Sigil of Greed,La primera carta cada turno cuesta -1 Monedas Doradas,on_first_card_turn_reduce_cost,1,,,,,res://assets/sprites/relics/relic4.png,common,
5,,,Vital Ember,Cada piso que subís recuperás 6 de vida,on_floor_cleared_heal_player,6,,,,,res://assets/sprites/relics/relic5.png,common,
6,,,Blade Oath,Tu primer ataque de cada combate hace +4 daño,on_first_attack_bonus_dmg,4,,,,,res://assets/sprites/relics/relic6.png,common,
7,,,Sigil of Savagery,Tus invocaciones ganan +1 Ataque al ser jugadas,player_invo_buff_attack,1,,,,,res://assets/sprites/relics/relic7.png,common,
8,,,Flesh Totem,Tus invocaciones ganan +1 Salud al ser jugadas,player_invo_buff_health,1,,,,,res://assets/sprites/relics/relic8.png,common,
9,,,Phantom Anklet,Tus invocaciones ganan +1 Velocidad al ser jugadas,player_invo_buff_speed,1,,,,,res://assets/sprites/relics/relic9.png,common,
10,,,Twin Fang Idol,Exiliás una carta → ganás 2 Gold Coin,on_exile_gain_gold,2,,,,,res://assets/sprites/relics/relic10.png,common,
11,,,Gilded Seed,Tu primer turno tenés +2 Gold Coins,initial_gold,2,,,,,res://assets/sprites/relics/relic11.png,common,
12,,,Last Wish Token,Cuando una Invocación tuya muere → +1 Gold Coin,on_player_invo_death_gain_gold,1,,,,,res://assets/sprites/relics/relic12.png,common,
13,,,Scroll of Momentum,Cada 7 cartas jugadas → robás 1 carta,on_play_n_cards_draw,7,,,,,res://assets/sprites/relics/relic13.png,common,
14,,,Ego Heart,Aumenta la vida máx del Player +15,player_max_health,15,,,,,res://assets/sprites/relics/relic14.png,common,
15,,,Greed Catalyst,Jugás 3 cartas en un turno → +2 Gold Coin,on_play_3_cards_turn_gain_gold,2,,,,,res://assets/sprites/relics/relic15.png,common,
16,,,Insight Crystal,Jugás 3 cartas en un turno → robás 1 carta,on_play_3_cards_turn_draw,1,,,,,res://assets/sprites/relics/relic16.png,common,
17,,,Ashes of War,Al comienzo de cada turno hace 1 daño a todas las Invocaciones Enemigas,on_every_1_turns_dmg_all_opponent_invo,1,,,,,res://assets/sprites/relics/relic17.png,common,
18,,,Exile Mirror,Exiliás una carta → robás una carta,on_exile_draw,1,,,,,res://assets/sprites/relics/relic18.png,common,
