id,card_class,rarity,name_es,name_en,image,gold_coins,red_coins,life_cost,displayed_text_es,displayed_text_en,target,effect1,effect2,effect3,condition1,condition2,condition3,value1,value2,value3,turn_duration1,turn_duration2,turn_duration3,chance1,chance2,chance3,ethereal,content_version_id
1,titan,common,Judgment of the Shadows,Judgment of the Shadows,res://assets/sprites/card-images/judgment-of-the-shadows.png,2,0,0,Hace 3 daños a una Invocación enemiga y puede silenciarla por 1 turno con 35% de probabilidad.,,opponent_invo,deal_damage,nerf_silence,,,,,3,0,,0,1,,100,35,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
2,titan,common,Blessing of Vitality,Blessing of Vitality,res://assets/sprites/card-images/blessing-of-vitality.png,2,0,0,"Da +2 Ataque, +2 Salud y puede otorgar 1 carga de Escudo Mágico por 1 turno a una Invocación aliada con 40% de probabilidad.",,player_invo,buff_health,buff_attack,buff_magic_shield,,,,2,2,1,0,0,1,100,100,40,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
3,arcane,common,Whispers of Knowledge,Whispers of Knowledge,res://assets/sprites/card-images/whispers-of-knowledge.png,2,0,0,"Robás 3 cartas. Se EXILIA. Además, el jugador gana 1 carga de Escudo Mágico por 1 turno con 40% de probabilidad.",,,player_draw_card,player_gains_magic_shield,,,,,3,1,,0,1,,100,40,,TRUE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
4,arcane,common,Golden Harvest,Golden Harvest,res://assets/sprites/card-images/golden-harvest.png,1,0,0,Obtenés 4 monedas doradas y robás 1 carta con 35% de probabilidad.,,,player_gain_gold_coins,player_draw_card,,,,,4,1,,0,0,,100,35,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
5,umbralist,common,Wave of Decay,Wave of Decay,res://assets/sprites/card-images/wave-of-decay.png,4,0,0,Hace 2 daños a todas las Invocaciones enemigas y además les da -1 Ataque con 50% de probabilidad.,,,deal_damage_all_opponent_invo,buff_attack_all_opponent_invo,,,,,2,-1,,0,0,,100,50,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
6,umbralist,common,Curse of Frailty,Curse of Frailty,res://assets/sprites/card-images/curse-of-frailty.png,1,0,0,Da -1 Ataque a todas las Invocaciones enemigas y hace que el oponente descarte 1 carta al azar con 40% de probabilidad.,,,buff_attack_all_opponent_invo,opponent_discard_random_card,,,,,-1,1,,0,0,,100,40,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
7,no_class,common,Windrunner's Grace,Windrunner's Grace,res://assets/sprites/card-images/windrunners-grace.png,1,0,0,"Da +1 Ataque y +1 Salud a una Invocación aliada. Además, le da +1 Velocidad por 1 turno con 80% de probabilidad.",,player_invo,buff_health,buff_attack,buff_speed,,,,1,1,1,0,0,1,100,100,80,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
8,titan,common,Shadowstrike Insight,Shadowstrike Insight,res://assets/sprites/card-images/shadowstrike-insight.png,3,0,0,"Hace 5 daños a una Invocación enemiga y robás 1 carta. Además, puede aturdirla por 1 turno con 35% de probabilidad.",,opponent_invo,deal_damage,player_draw_card,nerf_stun,,,,5,1,0,0,0,1,100,100,35,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
9,titan,common,Colossus Pact,Colossus Pact,res://assets/sprites/card-images/colossus-pact.png,3,0,0,"Da +3 Ataque y +3 Velocidad a una Invocación aliada. Además, puede otorgarle 1 carga de Escudo Mágico por 1 turno con 40% de probabilidad.",,player_invo,buff_attack,buff_speed,buff_magic_shield,,,,3,3,1,0,0,1,100,100,40,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
10,titan,rare,Charge of the Doomed,Charge of the Doomed,res://assets/sprites/card-images/charge-of-the-doomed.png,4,0,0,Da +3 de Ataque a todas las Invocaciones aliadas y +1 de Velocidad a todas ellas con 35% de probabilidad.,,,buff_attack_all_player_invo,buff_speed_all_player_invo,,,,,3,1,,0,0,,100,35,,FALSE,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
