id,rarity,tier,name_es,name_en,image,gold_coins,red_coins,life_cost,attack,speed,health,skill1,skill2,skill3,skill_value1,skill_value2,skill_value3,lore,content_version_id
1,common,Invocacion Inicial,Soul Hunter,Soul Hunter,res://assets/sprites/card-images/soul-hunter.png,4,0,0,2,3,4,spikes,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
2,common,Invocacion Inicial,Shadow Duelist,Shadow Duelist,res://assets/sprites/card-images/shadow-duelist.png,3,0,0,3,3,3,goldsmith,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
3,common,Invocacion Inicial,Abyss Prophet,Abyss Prophet,res://assets/sprites/card-images/abyss-prophet.png,5,0,0,3,6,5,flying,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
4,common,Invocacion Inicial,Flesh Priest,Flesh Priest,res://assets/sprites/card-images/flesh-priest.png,6,0,0,3,7,7,lifelink,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
5,common,Invocacion Inicial,Roar of the Forge,Roar of the Forge,res://assets/sprites/card-images/roar-of-the-forge.png,4,0,0,4,4,2,trample,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
6,common,Invocacion Inicial,Hunter of the Black Flames,Hunter of the Black Flames,res://assets/sprites/card-images/hunter-of-the-black-flames.png,3,0,0,0,3,5,poison,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
7,common,Invocacion Inicial,Herald of the Crimson Pact,Herald of the Crimson Pact,res://assets/sprites/card-images/herald-of-the-crimson-pact.png,7,0,0,2,5,6,deathtouch,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
8,common,Invocacion Inicial,Fangs of the Broken Moon,Fangs of the Broken Moon,res://assets/sprites/card-images/fangs-of-the-broken-moon.png,4,0,0,2,4,5,guard,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
9,common,Invocacion Inicial,Mist Stalker,Mist Stalker,res://assets/sprites/card-images/mist-stalker.png,5,0,0,2,5,6,regenerate,,,3,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
10,common,Invocacion Inicial,Beast of the Purge,Beast of the Purge,res://assets/sprites/card-images/beast-of-the-purge.png,6,0,0,4,3,7,reach,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
11,common,1,Fanghorn Basilisk,Fanghorn Basilisk,res://assets/sprites/card-images/fanghorn-basilisk.png,2,0,0,1,2,3,guard,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
12,common,1,Soulreaper Demon,Soulreaper Demon,res://assets/sprites/card-images/soulreaper-demon.png,3,0,0,2,4,2,flying,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
13,common,1,Frostfang Hydra,Frostfang Hydra,res://assets/sprites/card-images/frostfang-hydra.png,4,0,0,5,2,2,trample,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
14,common,1,Voidborn Abomination,Voidborn Abomination,res://assets/sprites/card-images/voidborn-abomination.png,5,0,0,2,3,4,spikes,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
15,common,1,Abyssal Thornlord,Abyssal Thornlord,res://assets/sprites/card-images/abyssal-thornlord.png,6,0,0,1,4,5,deathtouch,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
16,common,1,Gravemind Devourer,Gravemind Devourer,res://assets/sprites/card-images/gravemind-devourer.png,3,0,0,1,5,3,lifelink,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
17,common,1,Obsidian Harbinger,Obsidian Harbinger,res://assets/sprites/card-images/obsidian-harbinger.png,4,0,0,1,6,3,doubleshot,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
18,common,1,Eclipse Revenant,Eclipse Revenant,res://assets/sprites/card-images/eclipse-revenant.png,7,0,0,4,7,2,reach,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
19,common,2,Verdant Wurm,Verdant Wurm,res://assets/sprites/card-images/verdant-wurm.png,3,0,0,2,4,3,lifelink,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
20,common,2,Shadowlurker,Shadowlurker,res://assets/sprites/card-images/shadowlurker.png,4,0,0,3,3,4,goldsmith,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
21,common,2,Nether Serpent,Nether Serpent,res://assets/sprites/card-images/nether-serpent.png,5,0,0,2,3,7,guard,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
22,common,2,Ashen Drake,Ashen Drake,res://assets/sprites/card-images/ashen-drake.png,7,0,0,4,7,3,flying,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
23,common,2,Riftborn Colossus,Riftborn Colossus,res://assets/sprites/card-images/riftborn-colossus.png,6,0,0,4,5,4,reach,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
24,common,2,Hollow Seraph,Hollow Seraph,res://assets/sprites/card-images/hollow-seraph.png,4,0,0,0,8,3,poison,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
25,common,2,Blightscale Tyrant,Blightscale Tyrant,res://assets/sprites/card-images/blightscale-tyrant.png,5,0,0,1,5,5,regenerate,,,3,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
26,common,2,Dreadroot Leviathan,Dreadroot Leviathan,res://assets/sprites/card-images/dreadroot-leviathan.png,2,0,0,1,1,2,spikes,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
27,common,3,Dark Phantom,Dark Phantom,res://assets/sprites/card-images/dark-phantom.png,4,0,0,4,4,3,trample,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
28,common,3,Ironhide Golem,Ironhide Golem,res://assets/sprites/card-images/ironhide-golem.png,4,0,0,3,2,5,spikes,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
29,common,3,Stormbound Elemental,Stormbound Elemental,res://assets/sprites/card-images/stormbound-elemental.png,5,0,0,5,3,4,lifelink,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
30,common,3,Mirecrawler Beast,Mirecrawler Beast,res://assets/sprites/card-images/mirecrawler-beast.png,2,0,0,2,3,2,goldsmith,,,1,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
31,common,3,Voidcarver Apostle,Voidcarver Apostle,res://assets/sprites/card-images/voidcarver-apostle.png,5,0,0,1,7,4,poison,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
32,common,3,Nightshard Behemoth,Nightshard Behemoth,res://assets/sprites/card-images/nightshard-behemoth.png,6,0,0,4,4,6,regenerate,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
33,common,3,Ashen Covenant,Ashen Covenant,res://assets/sprites/card-images/ashen-covenant.png,4,0,0,1,4,4,deathtouch,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
34,common,3,Lurking Cataclysm,Lurking Cataclysm,res://assets/sprites/card-images/lurking-cataclysm.png,7,0,0,0,2,8,poison,,,4,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
35,rare,4,Sunforged Construct,Sunforged Construct,res://assets/sprites/card-images/sunforged-construct.png,5,0,0,3,4,8,guard,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
36,rare,4,Angel of Despair,Angel of Despair,res://assets/sprites/card-images/angel-of-despair.png,3,0,0,4,5,2,flying,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
37,rare,4,Veilwalker,Veilwalker,res://assets/sprites/card-images/veilwalker.png,4,0,0,5,3,4,trample,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
38,rare,4,Guardian of Lost Rites,Guardian of Lost Rites,res://assets/sprites/card-images/guardian-of-lost-rites.png,3,0,0,3,2,3,spikes,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
39,rare,4,Soulchain Warden,Soulchain Warden,res://assets/sprites/card-images/soulchain-warden.png,8,0,0,3,7,8,regenerate,,,5,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
40,rare,4,Starved Archfiend,Starved Archfiend,res://assets/sprites/card-images/starved-archfiend.png,6,0,0,3,5,6,deathtouch,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
41,rare,4,Gloomspire Sentinel,Gloomspire Sentinel,res://assets/sprites/card-images/gloomspire-sentinel.png,3,0,0,0,5,3,poison,,,3,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
42,rare,4,Duskweaver Horror,Duskweaver Horror,res://assets/sprites/card-images/duskweaver-horror.png,5,0,0,5,5,5,reach,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
43,rare,5,Keeper of the Hollow,Keeper of the Hollow,res://assets/sprites/card-images/keeper-of-the-hollow.png,6,0,0,6,7,2,lifelink,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
44,rare,5,Bloodsworn Revenant,Bloodsworn Revenant,res://assets/sprites/card-images/bloodsworn-revenant.png,3,0,0,2,4,4,goldsmith,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
45,rare,5,Metaltrasher,Metaltrasher,res://assets/sprites/card-images/metaltrasher.png,2,0,0,1,2,7,guard,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
46,rare,5,Megladoth,Megladoth,res://assets/sprites/card-images/megladoth.png,3,0,0,2,6,3,flying,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
47,rare,5,Thornveil Dominator,Thornveil Dominator,res://assets/sprites/card-images/thornveil-dominator.png,4,0,0,3,4,5,regenerate,,,2,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
48,rare,5,Cursed Skybreaker,Cursed Skybreaker,res://assets/sprites/card-images/cursed-skybreaker.png,6,0,0,4,3,9,reach,,,,,,,cb686dec-6fe2-46c7-b8c2-4a3eaaac67d8
